| Map | Level 0 | Baba Is You | 8 | Discord Collective |
| 7. Flower Garden | Level Garden-9 | Overgrowth | 95 | Discord Collective |
| 7. Flower Garden | Level Garden-10 | Adventurers | 159 | Discord Collective |
| 7. Flower Garden | Level Garden-Extra 1 | Secret Garden | 207 | Discord Collective |
| 7. Flower Garden | Level Garden-Extra 2 | Out At Sea | 134 | Discord Collective |
| 8. Chasm | Level Chasm-A | Rocky Prison | 46 | Discord Collective |
| 8. Chasm | Level Chasm-B | Siege | 73 | Discord Collective |
| 8. Chasm | Level Chasm-C | Elusive Condition | 77 | Discord Collective |
| 8. Chasm | Level Chasm-D | Treasury | 74 | Discord Collective |
| 8. Chasm | Level Chasm-E | Looking for a Heart | 74 | Discord Collective |
| 8. Chasm | Level Chasm-F | Lava Flood | 35 | Discord Collective |
| 8. Chasm | Level Chasm-G | Entropy | 118 | Discord Collective |
| 8. Chasm | Level Chasm-H | Floodgates | 141 | Discord Collective |
| 8. Chasm | Level Chasm-I | Lonely Sight | 73 | Discord Collective |
| 8. Chasm | Level Chasm-Extra 1 | Metacognition | 36 | Discord Collective |
| 8. Chasm | Level Chasm-Extra 2 | Multitool | 108 | Discord Collective |
| 8. Chasm | Level Chasm-Extra 3 | Broken | 45? | Discord Collective |
| 8. Chasm | Level Chasm-Extra 3 | Broken | 61 | Discord Collective |
| 8. Chasm | Level Chasm-Extra 4 | Alley | 125 | Discord Collective |
| 8. Chasm | Level Chasm-Extra 5 | Keke and the Star | 88 | Discord Collective |
| 8. Chasm | Level Chasm-Extra 6 | Visiting Baba | 78 | Discord Collective |
| 8. Chasm | Level Chasm-Extra 7 | Automated Doors | 108 | Discord Collective |
| 9. Volcanic Cavern | Level Cavern-1 | Tour | 98 | Discord Collective |
| 9. Volcanic Cavern | Level Cavern-2 | Peril at Every Turn | 123 | Discord Collective |
| 9. Volcanic Cavern | Level Cavern-3 | Pillarwork | 107 | Discord Collective |
| 9. Volcanic Cavern | Level Cavern-4 | Mouse Hole | 112 | Discord Collective |
| 9. Volcanic Cavern | Level Cavern-5 | Torn Apart | 80 | Discord Collective |
| 9. Volcanic Cavern | Level Cavern-6 | Vital Ingredients | 71 | Discord Collective |
| 9. Volcanic Cavern | Level Cavern-7 | Backstage | 100 | Discord Collective |
| 9. Volcanic Cavern | Level Cavern-8 | The Heist | 175 | Discord Collective |
| 9. Volcanic Cavern | Level Cavern-9 | Join the Crew | 58 | Discord Collective |
| 9. Volcanic Cavern | Level Cavern-10 | Automaton | 76 | Discord Collective |
| 9. Volcanic Cavern | Level Cavern-11 | Trick Door | 104 | Discord Collective |
| 9. Volcanic Cavern | Level Cavern-12 | Trapped | 65 | Discord Collective |
| 9. Volcanic Cavern | Level Cavern-13 | Tunnel | 183 | Discord Collective |
| 9. Volcanic Cavern | Level Cavern-14 | Broken Expectations | 150 | Discord Collective |
| 9. Volcanic Cavern | Level Cavern-Extra 1 | Coronation | 40 | Discord Collective |
| 10. Mountaintop | Level Mountain-1 | Shuffle | 66 | Discord Collective |
| 10. Mountaintop | Level Mountain-2 | Love at First Sight | 100 | Discord Collective |
| 10. Mountaintop | Level Mountain-3 | Solitude | 121 | Discord Collective |
| 10. Mountaintop | Level Mountain-4 | What is Baba? | 60 | Discord Collective |
| 10. Mountaintop | Level Mountain-5 | Connector | 99 | Discord Collective |
| 10. Mountaintop | Level Mountain-6 | Floaty Platforms | 55 | Discord Collective |
| 10. Mountaintop | Level Mountain-7 | Seeking Acceptance | 155 | Discord Collective |
| 10. Mountaintop | Level Mountain-8 | Tectonic Movements | 145 | Discord Collective |
| 10. Mountaintop | Level Mountain-Extra 1 | The Floatiest Platforms | 75 | Discord Collective |
| ??? | Level ???-1 | Glitch | 26 | Discord Collective |
| ??? | Level ???-2 | Error | 99 | Discord Collective |
| ??? | Level ???-3 | Whoops | 112 | Discord Collective |
| ??? | Level ???-4 | Mean Fence | 38 | Discord Collective |
| ??? | Level ???-5 | Scale | 37 | Discord Collective |
| ??? | Level ???-6 | Fireplace | 37 | Discord Collective |
| ??? | Level ???-7 | Turn the Corner | 91 | Discord Collective |
| ??? | Level ???-7 | Turn the Corner, LEVEL IS BABA | 157 | Discord Collective |
| ??? | Level ???-8 | VIP Area | 55 | Discord Collective |
| ??? | Level ???-9 | Tense Atmosphere | 57 | Discord Collective |
| ??? | Level ???-10 | Tag Team | 53 | Discord Collective |
| ??? | Level ???-11 | Security Check | 88 | Discord Collective |
| ??? | Level ???-12 | Ultimate Maze | 60 | Discord Collective |
| ??? | Level ???-A | Do It Yourself | 40 | Discord Collective |
| ??? | Level ???-B | Write the Rules | 87 | Discord Collective |
| ??? | Level ???-C | Rewrite the Rules | 133 | Discord Collective |
| ??? | Level ???-D | Written Instructions | 91 | Discord Collective |
| ??? | Level ???-D | Written Instructions, LEVEL WRITE WIN | 135 | Discord Collective |
| ??? | Level ???-Extra 1 | Across | 69 | Discord Collective |
| ??? | Level ???-Extra 2 | Castle Disaster | 34 | Discord Collective |
| ??? | Level ???-Extra 3 | Hazel Den | 54? | Discord Collective |
| ??? | Level ???-Extra 4 | Baba has Keke | 212 | Discord Collective |
| ??? | Level ???-Secret | Orb | 19 | Discord Collective |
| ??? | Level ???-Secret | Huh? | 77 | Discord Collective |
| ??? | Level ???-Secret | Getting Together | 131 | Discord Collective |
| ABC | Level ABC-1 | Lunar Gallery | 79 | Discord Collective |
| ABC | Level ABC-2 | Ba | 117 | Discord Collective |
| ABC | Level ABC-3 | Ab | 114 | Discord Collective |
| ABC | Level ABC-4 | Wall | 89 | Discord Collective |
| ABC | Level ABC-5 | Stardrop | 219 | Discord Collective |
| ABC | Level ABC-Extra 1 | Meteor Strike | 223 | Discord Collective |
| Depths | Level Depths-1 | Cleaning Service | 250 | Discord Collective |
| Depths | Level Depths-1 | Cleaning Service, LEVEL IS SKULL | 344 | Discord Collective |
| Depths | Level Depths-2 | Exercise Hall | 67 | Discord Collective |
| Depths | Level Depths-3 | Crushers | 16 | Discord Collective |
| Depths | Level Depths-3 | Crushers, LEVEL IS TEXT | 139 | Discord Collective |
| Depths | Level Depths-4 | Collaborative Effort | 70 | Discord Collective |
| Depths | Level Depths-5 | Living Lands | 12 | Discord Collective |
| Depths | Level Depths-5 | Living Lands, LEVEL IS ME | 60 | Discord Collective |
| Depths | Level Depths-Extra 1 | Priority Lane | 73 | Discord Collective |
| Depths | Level Depths-Extra 2 | Parade | 77 | Discord Collective |
| Depths | Level Depths-Extra 3 | Hidden Relic | 58 | Discord Collective |
| Depths | Level Depths-Extra 4 | Buried Treasure | 91 | Discord Collective |
| Depths | Level Depths-Extra 5 | Endless Corridor | 53 | Discord Collective |
| Meta | Level Meta-1 | Hot Potato | 102 | Discord Collective |
| Meta | Level Meta-2 | Adventure | 99 | Discord Collective |
| Meta | Level Meta-3 | Booby Trap | 6 | Discord Collective |
| Meta | Level Meta-3 | Booby Trap, LEVEL IS BABA | 155 | Discord Collective |
| Meta | Level Meta-3 | Booby Trap, LEVEL IS BELT, LEVEL IS FLAG | 123 | Discord Collective |
| Meta | Level Meta-3 | Booby Trap, LEVEL IS FLAG, LEVEL IS TEXT | 124 | Discord Collective |
| Meta | Level Meta-4 | Canister | 225 | Discord Collective |
| Meta | Level Meta-5 | Avalanche | 45 | Discord Collective |
| Meta | Level Meta-5 | Avalanche, LEVEL IS BABA | 11 | Discord Collective |
| Meta | Level Meta-6 | One-Way Entrance | 141 | Discord Collective |
| Meta | Level Meta-7 | Bramblevine | 66 | Discord Collective |
| Meta | Level Meta-8 | Mutual Feelings | 8 | Discord Collective |
| Meta | Level Meta-8 | Mutual Feelings, LEVEL IS BABA, LEVEL IS FLAG | 77? | Discord Collective |
| Meta | Level Meta-8 | Mutual Feelings, LEVEL IS BABA, LEVEL IS FLAG | 95 | Discord Collective |
| Meta | Level Meta-9 | Delicate Stars | 173 | Discord Collective |
| Meta | Level Meta-10 | Just No | 23 | Discord Collective |
| Meta | Level Meta-11 | Acrobatics | 53 | Discord Collective |
| Meta | Level Meta-12 | Tangle | 10 | Discord Collective |
| Meta | Level Meta-12 | Tangle, LEVEL IS BABA | 127 | Discord Collective |
| Meta | Level Meta-13 | The Box | 68 | Discord Collective |
| Meta | Level Meta-14 | Queue | 148 | Discord Collective |
| Meta | Level Meta-15 | Breaking and Entering | 222 | Discord Collective |
| Meta | Level Meta-15 | Breaking and Entering, LEVEL IS TEXT | 65 | Discord Collective |
| Meta | Level Meta-16 | The Return of Scenic Pond | 205 | Discord Collective |
| Meta | Level Meta-Extra 1 | Hidden Path | 40 | Discord Collective |
| Meta | Level Meta-Extra 2 | Triplets | 143 | Discord Collective |
| Meta | Level Meta-Extra 3 | Power Generator | 80 | Discord Collective |
| Meta | Level Meta-Extra 4 | Another Way | 206 | Discord Collective |
| Meta | Level Meta-Secret | A Prize Well Earned | 68 | Discord Collective |
| Meta | Level Meta-Secret | Whoa | 163 | Discord Collective |
| Center |  | Gallery | 38 | Discord Collective |
| Center |  | The End | 48 | Discord Collective |
| Center |  | The End, ALL IS DONE | 40 | Discord Collective |
